idx,name,artist,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,uri,valence
1,Black Box Theme,Tom Waits,0.338,0.138,162333,0.314,0.994,1,0.194,-14.892,0,0.0333,144.634,4,spotify:track:42Wq3QC7HxMVqRAAq0cQ02,0.21
2,Winter On The Weekend,Julia Stone,0.884,0.533,280907,0.247,0.027,0,0.0868,-11.242,0,0.0298,132.021,4,spotify:track:48oJqxzUDQPOcPXqQHhXyk,0.0605
3,Fade Into You,Mazzy Star,0.245,0.42,295600,0.33,0.000679,9,0.0677,-13.925,1,0.0275,157.143,3,spotify:track:1LzNfuep1bnAUR9skqdHCK,0.175
4,"Call It Fate, Call It Karma",The Strokes,0.983,0.544,204773,0.241,0.774,4,0.101,-14.779,0,0.03,109.437,4,spotify:track:3Y4rUyw7XBCK6hGHCOt6rp,0.359
5,Laura Palmer's Theme - Instrumental,Angelo Badalamenti,0.845,0.0618,292000,0.0144,0.643,0,0.104,-21.974,0,0.0451,67.959,4,spotify:track:7Bk3p8UqcP4sItaWNWbvXL,0.0357
6,Truth Or Dare (On Film),Heaven,0.616,0.33,175333,0.315,0.00103,8,0.0727,-8.281,1,0.0393,77.32,3,spotify:track:64NWbv2pB8OsDBwnIWYBP3,0.0945
7,I Get Low,Timber Timbre,0.831,0.385,312307,0.315,0.8,3,0.0691,-11.293,0,0.0585,181.305,3,spotify:track:76pYGV6DgBg9QEGtGXrkJE,0.322
8,Freshly Squeezed - Instrumental,Angelo Badalamenti,0.504,0.714,228800,0.182,0.535,5,0.134,-21.37,0,0.0743,79.945,4,spotify:track:67JpKSJ3NM9hVQbkJXOxPi,0.396
9,Live Forever,Cat Pierce,0.442,0.598,212000,0.348,0,3,0.168,-6.369,1,0.0291,119.959,3,spotify:track:2RxeLdm3hukMfkcnHMXHlE,0.28
10,Do Not Go Quietly Unto Your Grave,Morphine,0.703,0.403,199493,0.248,0.0453,7,0.145,-20.336,1,0.0513,202.603,4,spotify:track:0ml8Rzp8E4MRAuUlaALLLi,0.29
