idx,name,uri,key,mode,danceability,energy,loudness,acousticness,instrumentalness,liveness,valence,tempo,new_order
1,Lavender Haze,spotify:track:4g2c7NoTWAOSYDy44l9nub,10,1,0.735,0.444,-10.519,0.204,0.0012,0.17,0.0984,97.038,1
56,Delicate,spotify:track:6NFyWDv5CjfwuzoCkw47Xf,9,0,0.75,0.404,-10.178,0.216,0.000357,0.0911,0.0499,95.045,2
10,The Great War,spotify:track:3UMrglJeju5yWyYIW6o99b,5,1,0.573,0.741,-8.987,0.219,2.23e-05,0.0842,0.554,96.016,3
3,Anti-Hero,spotify:track:02Zkkf2zMkwRGQjZ7T4p8f,4,1,0.638,0.634,-6.582,0.133,1.23e-06,0.152,0.519,96.953,4
94,Death By A Thousand Cuts,spotify:track:2dgFqt3w9xIQRjhPtwNk3D,4,1,0.712,0.732,-6.754,0.454,0.0,0.319,0.313,94.071,5
75,Style,spotify:track:1fo2ctLqj3zBhRQKOXprol,7,1,0.588,0.791,-5.595,0.00245,0.00258,0.118,0.487,94.933,6
59,Gorgeous,spotify:track:1ZY1PqizIl78geGM4xWlEA,7,1,0.8,0.535,-6.684,0.0713,9.48e-06,0.213,0.451,92.027,7
74,Out Of The Woods,spotify:track:6Nde5KuTXyB7jlPO4upaBo,7,1,0.553,0.841,-6.937,0.000743,1.19e-05,0.341,0.338,92.008,8
8,Karma,spotify:track:5oqDgw5VGBln5dSIOPWyBq,8,1,0.649,0.622,-7.054,0.074,0.0,0.594,0.106,90.024,9
111,Last Kiss,spotify:track:4h0EXpatqJImv4VRgvX6po,10,1,0.371,0.341,-9.475,0.57,3.09e-05,0.101,0.196,89.038,10
48,august,spotify:track:6nK2pIKFcRc5frrZKHgsiT,5,1,0.387,0.634,-9.222,0.553,6.93e-05,0.0931,0.42,89.567,11
38,ivy,spotify:track:43Ykum9T72UOPhBN31grpN,2,1,0.515,0.545,-9.277,0.855,1.97e-05,0.0921,0.535,88.856,12
120,the lakes - the long pond studio sessions,spotify:track:6mqyTq948oap5AkyTsd6XF,2,1,0.606,0.221,-11.767,0.794,0.0,0.0888,0.112,89.844,13
34,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),spotify:track:5enxwA8aAbwZbf5qCHORXi,0,1,0.631,0.518,-8.771,0.274,0.0,0.088,0.205,93.023,14
110,All Of The Girls You Loved Before,spotify:track:4P9Q0GojKVXpRTJCaL3kyy,2,1,0.718,0.467,-9.66,0.707,6.92e-05,0.126,0.396,95.96,15
64,New Year’s Day,spotify:track:7F5oktn5YOsR9eR5YsFtqb,0,1,0.661,0.151,-12.864,0.921,0.0,0.13,0.23,94.922,16
17,I Think He Knows,spotify:track:2YWtcWi3a83pdEg3Gif4Pd,0,1,0.897,0.366,-8.029,0.00889,0.000353,0.0715,0.416,100.003,17
27,Stay Stay Stay (Taylor's Version),spotify:track:7eQj6r5PIdYKEIZjucBMcq,0,1,0.693,0.681,-7.039,0.0848,0.0,0.0768,0.663,100.02,18
31,Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),spotify:track:01K4zKU104LyJ8gMb7227B,0,1,0.606,0.377,-9.455,0.817,0.0,0.154,0.446,101.96,19
93,Cornelia Street,spotify:track:12M5uqx0ZuwkpLp5rJim1a,0,1,0.824,0.624,-9.728,0.781,0.000189,0.1,0.248,102.012,20
70,Clean,spotify:track:4bXCcoesMt8u99xMsbLr9U,4,1,0.815,0.377,-7.754,0.232,0.0,0.1,0.211,103.97,21
112,Hits Different,spotify:track:3xYJScVfxByb61dYHTwiby,5,1,0.672,0.782,-6.499,0.148,4.73e-06,0.296,0.239,106.026,22
2,Maroon,spotify:track:199E1RRrVmVTQqBXih5qRC,7,1,0.658,0.378,-8.3,0.0593,0.0,0.0976,0.0382,108.034,23
101,Question...?,spotify:track:6C7OF1Jal7YkyjzyUG8vkK,7,1,0.751,0.502,-8.777,0.226,0.0,0.297,0.112,108.989,24
47,mirrorball,spotify:track:2I8YAEA1VmCuP1wkJHMpTw,7,1,0.549,0.417,-10.064,0.686,1.9e-06,0.0604,0.347,110.137,25
115,mirrorball,spotify:track:5jQyGzcwqAxwT5QUIMivoX,7,1,0.549,0.417,-10.064,0.686,1.9e-06,0.0604,0.347,110.137,26
11,Paris,spotify:track:7712gjoih4QoDbXpljEk21,7,1,0.7,0.509,-10.547,0.112,3.27e-05,0.137,0.345,110.947,27
36,gold rush,spotify:track:3Dby3p1m6IOZn2gIIqECgK,9,1,0.512,0.462,-10.491,0.83,0.166,0.121,0.353,112.05,28
21,Afterglow,spotify:track:1SymEzIT3H8UZfibCs3TYi,9,1,0.756,0.449,-8.746,0.13,0.0,0.114,0.399,111.011,29
32,Message In A Bottle (Taylor's Version) (From The Vault),spotify:track:3z6XUommYDWPHeFhmhhT6j,7,1,0.622,0.791,-6.106,0.00188,3.72e-06,0.083,0.494,115.915,30
67,Welcome To New York,spotify:track:33Kq0AT5rvwyE4azisG08x,7,1,0.789,0.634,-4.762,0.0348,1.64e-06,0.302,0.658,116.992,31
79,Speak Now,spotify:track:1nYWTzy5zu3zEPNgB1sItW,7,1,0.709,0.599,-3.734,0.095,0.0,0.0973,0.735,118.975,32
77,Mine,spotify:track:6LZaxlycSWrJZ4Volb25qx,7,1,0.624,0.757,-2.94,0.00265,1.87e-06,0.189,0.658,121.07,33
106,Mine (Taylor's Version),spotify:track:7G0gBu6nLdhFDPRLc0HdDG,7,1,0.646,0.783,-2.846,0.00444,1.38e-06,0.171,0.49,121.08,34
108,I Can See You (Taylor’s Version) (From The Vault),spotify:track:5kHMfzgLZP95O9NBy0ku4v,6,1,0.694,0.764,-4.893,0.0586,0.0,0.0608,0.819,123.044,35
69,New Romantics,spotify:track:6rZVy6FIG7lSJQMFXHo12z,5,1,0.633,0.889,-5.87,0.00463,0.000458,0.0658,0.584,121.956,36
80,Dear John,spotify:track:1ubvV5ECkm6nSI6g1HmbBK,4,1,0.589,0.47,-5.32,0.166,1.45e-06,0.112,0.102,119.386,37
29,The Lucky One (Taylor's Version),spotify:track:4e5ayHsOLJNLTGfjau2mEw,4,1,0.686,0.571,-7.138,0.066,0.0,0.0608,0.538,117.889,38
37,dorothea,spotify:track:66tOfHVH3aUrscg8vExRV4,4,1,0.605,0.488,-8.322,0.696,0.0,0.129,0.354,119.966,39
4,"You're On Your Own, Kid",spotify:track:7gVWKBcfIW93YxNBi3ApIE,2,1,0.694,0.38,-10.307,0.416,8.47e-06,0.126,0.376,120.044,40
63,Dress,spotify:track:6oVxXO5oQ4pTpO8RSnkzvv,0,1,0.719,0.469,-8.792,0.0329,0.0,0.169,0.0851,120.085,41
65,I Don’t Wanna Live Forever (Fifty Shades Darker),spotify:track:55n9yjI6qqXh5F2mYvUc2y,0,1,0.731,0.445,-8.418,0.0586,1.96e-05,0.14,0.106,117.97,42
76,I Wish You Would,spotify:track:1B5VzXPqMlvRw0U4HJY3dJ,0,1,0.653,0.893,-5.966,0.0158,4.95e-05,0.102,0.513,118.035,43
16,The Archer,spotify:track:3pHkh7d0lzM2AldUtz2x37,0,1,0.292,0.574,-9.375,0.12,0.00569,0.0663,0.166,124.344,44
41,evermore (feat. Bon Iver),spotify:track:6Wlq9rqkxrqj5Kls4Kw14H,1,1,0.39,0.27,-10.673,0.937,0.00227,0.111,0.32,125.177,45
39,cowboy like me,spotify:track:52OkpDsU6MmPx1AwGOb6Ap,0,1,0.604,0.517,-9.014,0.768,0.000155,0.123,0.511,127.967,46
44,cardigan,spotify:track:0KRYCBwIpWYFNrXOmXbyUh,0,0,0.612,0.58,-8.572,0.525,0.000414,0.26,0.534,130.045,47
97,Christmas Tree Farm (Old Timey Version),spotify:track:7r7j12XctfJqZWXsy1Zq9L,0,1,0.487,0.486,-6.548,0.402,0.0,0.401,0.529,129.765,48
45,my tears ricochet,spotify:track:5P2bHCDM2tsgIaYWsZMhu5,0,1,0.456,0.265,-10.663,0.814,0.0,0.0679,0.112,129.947,49
